DTHM,O,C,H,L,V,A
2019-09-17 09:30,16.19,16.19,16.19,16.19,0,0
2019-09-17 09:31,16.19,16.17,16.20,16.15,19298.23,31203556
2019-09-17 09:32,16.16,16.14,16.16,16.12,20081.64,32417071
2019-09-17 09:33,16.13,16.17,16.17,16.13,17900.6,28898367
2019-09-17 09:34,16.17,16.17,16.18,16.16,15128.6,24463446
2019-09-17 09:35,16.17,16.20,16.21,16.16,12081.72,19547066
2019-09-17 09:36,16.20,16.19,16.22,16.18,9473.6,15345650
2019-09-17 09:37,16.19,16.18,16.19,16.16,14774.4,23893768
2019-09-17 09:38,16.18,16.22,16.22,16.18,7467.8,12101862
2019-09-17 09:39,16.22,16.20,16.23,16.20,8103.2,13135642
2019-09-17 09:40,16.20,16.18,16.20,16.18,7125.2,11533845
2019-09-17 09:41,16.17,16.15,16.17,16.15,12610,20380897
2019-09-17 09:42,16.16,16.17,16.18,16.16,8053,13013456
2019-09-17 09:43,16.17,16.14,16.17,16.14,12682.53,20486532
2019-09-17 09:44,16.14,16.14,16.14,16.13,15730.91,25377441
2019-09-17 09:45,16.14,16.14,16.16,16.13,15061.96,24315756
2019-09-17 09:46,16.16,16.16,16.17,16.15,11140.52,18003521
2019-09-17 09:47,16.16,16.15,16.16,16.14,14354.6,23190836
2019-09-17 09:48,16.15,16.13,16.16,16.13,17037.16,27497760
2019-09-17 09:49,16.13,16.09,16.14,16.09,22773.29,36690770
2019-09-17 09:50,16.10,16.07,16.10,16.06,27350.94,43959021
2019-09-17 09:51,16.06,16.08,16.09,16.06,24171.1,38845536
2019-09-17 09:52,16.08,16.08,16.10,16.07,15087.8,24259446
2019-09-17 09:53,16.08,16.07,16.09,16.07,14193.6,22820349
2019-09-17 09:54,16.07,16.09,16.09,16.06,18003.08,28946438
2019-09-17 09:55,16.09,16.08,16.09,16.07,14202.21,22832921
2019-09-17 09:56,16.08,16.10,16.10,16.08,11421.28,18375805
2019-09-17 09:57,16.10,16.07,16.10,16.07,23545.32,37864234
2019-09-17 09:58,16.06,16.02,16.06,16.02,24913.97,39969566
2019-09-17 09:59,16.01,16.01,16.02,16.00,36163.69,57898580
2019-09-17 10:00,16.01,15.97,16.01,15.96,34206.4,54680038
2019-09-17 10:01,15.97,15.91,15.97,15.90,37074.4,59091935
2019-09-17 10:02,15.93,15.96,15.97,15.92,34684.76,55281869
2019-09-17 10:03,15.96,15.96,15.97,15.95,15835.97,25274473
2019-09-17 10:04,15.96,15.97,15.97,15.95,14406.01,22988776
2019-09-17 10:05,15.96,15.97,15.97,15.96,8845.49,14120253
2019-09-17 10:06,15.97,15.96,15.97,15.96,8411.53,13427047
2019-09-17 10:07,15.97,15.95,15.97,15.94,16451.89,26243964
2019-09-17 10:08,15.95,15.95,15.95,15.94,22100.4,35234050
2019-09-17 10:09,15.95,16.00,16.00,15.95,11542.45,18438022
2019-09-17 10:10,15.99,16.00,16.01,15.99,13961.14,22342220
2019-09-17 10:11,16.01,16.02,16.02,16.00,12315.6,19717586
2019-09-17 10:12,16.03,16.05,16.08,16.03,13157,21124487
2019-09-17 10:13,16.05,16.04,16.05,16.03,8744,14031065
2019-09-17 10:14,16.03,16.03,16.04,16.02,7497.71,12018758
2019-09-17 10:15,16.03,16.05,16.06,16.02,15052.09,24134381
2019-09-17 10:16,16.07,16.01,16.07,16.01,12174.51,19527373
2019-09-17 10:17,16.00,15.98,16.01,15.98,8459,13535434
2019-09-17 10:18,15.99,16.00,16.01,15.98,7371.08,11788276
2019-09-17 10:19,16.00,15.99,16.02,15.99,6221.2,9955450
2019-09-17 10:20,16.00,16.00,16.01,15.99,6971.68,11151606
2019-09-17 10:21,16.00,15.97,16.00,15.97,12474.04,19926521
2019-09-17 10:22,15.97,15.95,15.97,15.95,3989.71,6367282
2019-09-17 10:23,15.96,15.97,15.97,15.95,9441,15070157
2019-09-17 10:24,15.96,15.97,15.98,15.96,6632.4,10588289
2019-09-17 10:25,15.97,15.99,15.99,15.97,6306.97,10078858
2019-09-17 10:26,15.99,16.02,16.02,15.98,6124.09,9796886
2019-09-17 10:27,16.02,16.02,16.03,16.01,4331.4,6938167
2019-09-17 10:28,16.01,16.00,16.02,15.99,5052.91,8086187
2019-09-17 10:29,15.99,15.99,16.01,15.99,2346,3752502
2019-09-17 10:30,15.99,16.00,16.01,15.99,2569,4109872
2019-09-17 10:31,16.00,16.01,16.02,16.00,3449.69,5522873
2019-09-17 10:32,16.01,16.00,16.01,16.00,5411.71,8659969
2019-09-17 10:33,16.00,15.98,16.00,15.98,3621.2,5790893
2019-09-17 10:34,15.98,15.99,16.00,15.98,7810.2,12487107
2019-09-17 10:35,15.97,15.98,15.99,15.97,6459,10323604
2019-09-17 10:36,15.97,15.96,15.97,15.96,6101.42,9740676
2019-09-17 10:37,15.96,15.95,15.96,15.95,8276.29,13202423
2019-09-17 10:38,15.94,15.91,15.94,15.91,18378.86,29261438
2019-09-17 10:39,15.91,15.91,15.92,15.90,22234.14,35365393
2019-09-17 10:40,15.92,15.93,15.94,15.92,9302.63,14813414
2019-09-17 10:41,15.93,15.92,15.94,15.92,7334.2,11680158
2019-09-17 10:42,15.92,15.96,15.96,15.92,5583.83,8895596
2019-09-17 10:43,15.96,15.98,15.98,15.95,5259.6,8395574
2019-09-17 10:44,15.97,15.97,15.98,15.96,4442,7095151
2019-09-17 10:45,15.96,15.96,15.97,15.95,5014.6,8005003
